  0.00000000E+00 -0.18883250E+01
  0.11387322E-01 -0.18886333E+01
  0.22774645E-01 -0.18888505E+01
  0.34161967E-01 -0.18890044E+01
  0.45549290E-01 -0.18891333E+01
  0.56936612E-01 -0.18892776E+01
  0.68323934E-01 -0.18894696E+01
  0.79711257E-01 -0.18897245E+01
  0.91098579E-01 -0.18900360E+01
  0.10248590E+00 -0.18903784E+01
  0.11387322E+00 -0.18907135E+01
  0.12526055E+00 -0.18909978E+01
  0.13664787E+00 -0.18911881E+01
  0.14803519E+00 -0.18912452E+01
  0.15942251E+00 -0.18911347E+01
  0.17080984E+00 -0.18908274E+01
  0.18219716E+00 -0.18902987E+01
  0.19358448E+00 -0.18895281E+01
  0.20497180E+00 -0.18884983E+01
  0.21635913E+00 -0.18871949E+01
  0.22774645E+00 -0.18856061E+01
  0.23913377E+00 -0.18837222E+01
  0.25052109E+00 -0.18815354E+01
  0.26190842E+00 -0.18790397E+01
  0.27329574E+00 -0.18762310E+01
  0.28468306E+00 -0.18731070E+01
  0.29607038E+00 -0.18696668E+01
  0.30745770E+00 -0.18659116E+01
  0.31884503E+00 -0.18618441E+01
  0.33023235E+00 -0.18574691E+01
  0.34161967E+00 -0.18527932E+01
  0.35300699E+00 -0.18478252E+01
  0.36439432E+00 -0.18425759E+01
  0.37578164E+00 -0.18370587E+01
  0.38716896E+00 -0.18312895E+01
  0.39855628E+00 -0.18252872E+01
  0.40994361E+00 -0.18190741E+01
  0.42133093E+00 -0.18126770E+01
  0.43271825E+00 -0.18061278E+01
  0.44410557E+00 -0.17994667E+01
  0.45549290E+00 -0.17927462E+01
  0.46688022E+00 -0.17860431E+01
  0.47826754E+00 -0.17794848E+01
  0.48965486E+00 -0.17733206E+01
  0.50104219E+00 -0.17680635E+01
  0.51242951E+00 -0.17644124E+01
  0.52381683E+00 -0.17624077E+01
  0.53520415E+00 -0.17614090E+01
  0.54659148E+00 -0.17609270E+01
  0.55797880E+00 -0.17607167E+01
  0.56936612E+00 -0.17606467E+01
  0.58075344E+00 -0.17606324E+01
  0.59214076E+00 -0.17606120E+01
  0.60352809E+00 -0.17605367E+01
  0.61491541E+00 -0.17603668E+01
  0.62630273E+00 -0.17600702E+01
  0.63769005E+00 -0.17596211E+01
  0.64907738E+00 -0.17589996E+01
  0.66046470E+00 -0.17581911E+01
  0.67185202E+00 -0.17571857E+01
  0.68323934E+00 -0.17559782E+01
  0.69462667E+00 -0.17545670E+01
  0.70601399E+00 -0.17529545E+01
  0.71740131E+00 -0.17511470E+01
  0.72878863E+00 -0.17491545E+01
  0.74017596E+00 -0.17469917E+01
  0.75156328E+00 -0.17446787E+01
  0.76295060E+00 -0.17422426E+01
  0.77433792E+00 -0.17397200E+01
  0.78572525E+00 -0.17371596E+01
  0.79711257E+00 -0.17346248E+01
  0.80849989E+00 -0.17321930E+01
  0.81988721E+00 -0.17299472E+01
  0.83127454E+00 -0.17279570E+01
  0.84266186E+00 -0.17262552E+01
  0.85404918E+00 -0.17248284E+01
  0.86543650E+00 -0.17236296E+01
  0.87682383E+00 -0.17226007E+01
  0.88821115E+00 -0.17216893E+01
  0.89959847E+00 -0.17208555E+01
  0.91098579E+00 -0.17200715E+01
  0.92237311E+00 -0.17193197E+01
  0.93376044E+00 -0.17185899E+01
  0.94514776E+00 -0.17178770E+01
  0.95653508E+00 -0.17171799E+01
  0.96792240E+00 -0.17165002E+01
  0.97930973E+00 -0.17158417E+01
  0.99069705E+00 -0.17152096E+01
  0.10020844E+01 -0.17146107E+01
