  0.00000000E+00  0.34403860E+01
  0.11499645E-01  0.34407227E+01
  0.22999289E-01  0.34417330E+01
  0.34498934E-01  0.34434168E+01
  0.45998578E-01  0.34457742E+01
  0.57498223E-01  0.34488053E+01
  0.68997867E-01  0.34525101E+01
  0.80497512E-01  0.34568886E+01
  0.91997156E-01  0.34619409E+01
  0.10349680E+00  0.34676670E+01
  0.11499645E+00  0.34740671E+01
  0.12649609E+00  0.34811410E+01
  0.13799573E+00  0.34888889E+01
  0.14949538E+00  0.34973106E+01
  0.16099502E+00  0.35064060E+01
  0.17249467E+00  0.35161750E+01
  0.18399431E+00  0.35266173E+01
  0.19549396E+00  0.35377327E+01
  0.20699360E+00  0.35495206E+01
  0.21849325E+00  0.35619804E+01
  0.22999289E+00  0.35751116E+01
  0.24149253E+00  0.35889133E+01
  0.25299218E+00  0.36033843E+01
  0.26449182E+00  0.36185234E+01
  0.27599147E+00  0.36343292E+01
  0.28749111E+00  0.36507998E+01
  0.29899076E+00  0.36679333E+01
  0.31049040E+00  0.36857273E+01
  0.32199005E+00  0.37041790E+01
  0.33348969E+00  0.37232853E+01
  0.34498934E+00  0.37430426E+01
  0.35648898E+00  0.37634468E+01
  0.36798862E+00  0.37844933E+01
  0.37948827E+00  0.38061769E+01
  0.39098791E+00  0.38284916E+01
  0.40248756E+00  0.38514309E+01
  0.41398720E+00  0.38749872E+01
  0.42548685E+00  0.38991523E+01
  0.43698649E+00  0.39239166E+01
  0.44848614E+00  0.39492698E+01
  0.45998578E+00  0.39752000E+01
  0.47148543E+00  0.40016941E+01
  0.48298507E+00  0.40287375E+01
  0.49448471E+00  0.40563136E+01
  0.50598436E+00  0.40844040E+01
  0.51748400E+00  0.41129880E+01
  0.52898365E+00  0.41420423E+01
  0.54048329E+00  0.41715409E+01
  0.55198294E+00  0.42014541E+01
  0.56348258E+00  0.42317485E+01
  0.57498223E+00  0.42623863E+01
  0.58648187E+00  0.42933240E+01
  0.59798151E+00  0.43245123E+01
  0.60948116E+00  0.43558940E+01
  0.62098080E+00  0.43874031E+01
  0.63248045E+00  0.44189628E+01
  0.64398009E+00  0.44504828E+01
  0.65547974E+00  0.44818563E+01
  0.66697938E+00  0.45129561E+01
  0.67847903E+00  0.45436292E+01
  0.68997867E+00  0.45736895E+01
  0.70147832E+00  0.46029094E+01
  0.71297796E+00  0.46310079E+01
  0.72447760E+00  0.46576359E+01
  0.73597725E+00  0.46823586E+01
  0.74747689E+00  0.47046374E+01
  0.75897654E+00  0.47238146E+01
  0.77047618E+00  0.47391127E+01
  0.78197583E+00  0.47496679E+01
  0.79347547E+00  0.47546194E+01
  0.80497512E+00  0.47532674E+01
  0.81647476E+00  0.47452667E+01
  0.82797440E+00  0.47307684E+01
  0.83947405E+00  0.47104194E+01
  0.85097369E+00  0.46852122E+01
  0.86247334E+00  0.46562733E+01
  0.87397298E+00  0.46246868E+01
  0.88547263E+00  0.45913976E+01
  0.89697227E+00  0.45571817E+01
  0.90847192E+00  0.45226555E+01
  0.91997156E+00  0.44883016E+01
  0.93147121E+00  0.44544956E+01
  0.94297085E+00  0.44215310E+01
  0.95447049E+00  0.43896383E+01
  0.96597014E+00  0.43590007E+01
  0.97746978E+00  0.43297647E+01
  0.98896943E+00  0.43020491E+01
  0.10004691E+01  0.42759507E+01
  0.10119687E+01  0.42515495E+01
  0.10234684E+01  0.42289118E+01
  0.10349680E+01  0.42080931E+01
  0.10464677E+01  0.41891398E+01
  0.10579673E+01  0.41720909E+01
  0.10694669E+01  0.41569792E+01
  0.10809666E+01  0.41438319E+01
  0.10924662E+01  0.41326715E+01
  0.11039659E+01  0.41235165E+01
  0.11154655E+01  0.41163813E+01
  0.11269652E+01  0.41112771E+01
  0.11384648E+01  0.41082114E+01
  0.11499645E+01  0.41071890E+01
  0.11499645E+01  0.34403860E+01
  0.11615111E+01  0.34406949E+01
  0.11730577E+01  0.34416217E+01
  0.11846044E+01  0.34431667E+01
  0.11961510E+01  0.34453302E+01
  0.12076977E+01  0.34481126E+01
  0.12192443E+01  0.34515148E+01
  0.12307910E+01  0.34555372E+01
  0.12423376E+01  0.34601810E+01
  0.12538843E+01  0.34654470E+01
  0.12654309E+01  0.34713363E+01
  0.12769776E+01  0.34778501E+01
  0.12885242E+01  0.34849897E+01
  0.13000709E+01  0.34927565E+01
  0.13116175E+01  0.35011517E+01
  0.13231642E+01  0.35101769E+01
  0.13347108E+01  0.35198335E+01
  0.13462575E+01  0.35301228E+01
  0.13578041E+01  0.35410463E+01
  0.13693508E+01  0.35526054E+01
  0.13808974E+01  0.35648013E+01
  0.13924441E+01  0.35776353E+01
  0.14039907E+01  0.35911083E+01
  0.14155374E+01  0.36052214E+01
  0.14270840E+01  0.36199752E+01
  0.14386307E+01  0.36353702E+01
  0.14501773E+01  0.36514067E+01
  0.14617240E+01  0.36680845E+01
  0.14732706E+01  0.36854033E+01
  0.14848173E+01  0.37033622E+01
  0.14963639E+01  0.37219599E+01
  0.15079106E+01  0.37411948E+01
  0.15194572E+01  0.37610644E+01
  0.15310038E+01  0.37815660E+01
  0.15425505E+01  0.38026957E+01
  0.15540971E+01  0.38244494E+01
  0.15656438E+01  0.38468218E+01
  0.15771904E+01  0.38698067E+01
  0.15887371E+01  0.38933971E+01
  0.16002837E+01  0.39175847E+01
  0.16118304E+01  0.39423600E+01
  0.16233770E+01  0.39677123E+01
  0.16349237E+01  0.39936293E+01
  0.16464703E+01  0.40200970E+01
  0.16580170E+01  0.40470998E+01
  0.16695636E+01  0.40746201E+01
  0.16811103E+01  0.41026381E+01
  0.16926569E+01  0.41311317E+01
  0.17042036E+01  0.41600760E+01
  0.17157502E+01  0.41894435E+01
  0.17272969E+01  0.42192034E+01
  0.17388435E+01  0.42493214E+01
  0.17503902E+01  0.42797594E+01
  0.17619368E+01  0.43104749E+01
  0.17734835E+01  0.43414210E+01
  0.17850301E+01  0.43725453E+01
  0.17965768E+01  0.44037901E+01
  0.18081234E+01  0.44350913E+01
  0.18196701E+01  0.44663779E+01
  0.18312167E+01  0.44975719E+01
  0.18427634E+01  0.45285873E+01
  0.18543100E+01  0.45593295E+01
  0.18658567E+01  0.45896953E+01
  0.18774033E+01  0.46195725E+01
  0.18889500E+01  0.46488398E+01
  0.19004966E+01  0.46773672E+01
  0.19120432E+01  0.47050170E+01
  0.19235899E+01  0.47316451E+01
  0.19351365E+01  0.47571031E+01
  0.19466832E+01  0.47812420E+01
  0.19582298E+01  0.48039154E+01
  0.19697765E+01  0.48249851E+01
  0.19813231E+01  0.48443263E+01
  0.19928698E+01  0.48618340E+01
  0.20044164E+01  0.48774283E+01
  0.20159631E+01  0.48910599E+01
  0.20275097E+01  0.49027137E+01
  0.20390564E+01  0.49124104E+01
  0.20506030E+01  0.49202058E+01
  0.20621497E+01  0.49261883E+01
  0.20736963E+01  0.49304736E+01
  0.20852430E+01  0.49331988E+01
  0.20967896E+01  0.49345147E+01
  0.21083363E+01  0.49345792E+01
  0.21198829E+01  0.49335501E+01
  0.21314296E+01  0.49315796E+01
  0.21429762E+01  0.49288091E+01
  0.21545229E+01  0.49253662E+01
  0.21660695E+01  0.49213626E+01
  0.21776162E+01  0.49168939E+01
